date,actual,predicted,naive
2022-03-20,1975.56,1944.7919,1965.07
2022-03-21,1982.87,1945.6145,1975.56
2022-03-22,2003.83,1948.7944,1982.87
2022-03-23,2025.28,1938.6104,2003.83
2022-03-24,2032.82,1935.9636,2025.28
2022-03-27,2080.43,1937.7266,2032.82
2022-03-28,2075.4,1931.6708,2080.43
2022-03-29,2078.53,1875.7534,2075.4
2022-03-30,2061.94,1869.8005,2078.53
2022-03-31,2073.54,1900.6296,2061.94
2022-04-03,2084.28,1871.1244,2073.54
2022-04-04,2082.36,1869.0858,2084.28
2022-04-05,2093.78,1838.6693,2082.36
2022-04-06,2119.33,1857.5109,2093.78
2022-04-07,2120.87,1852.8257,2119.33
