Date,Price,Open,High,Low,Vol.,Change %
2010-05-24,1482.42,1491.98,1491.98,1482.42,926980.0,-0.64
2010-05-25,1454.85,1482.42,1482.42,1454.85,1660000.0,-1.86
2010-05-26,1472.29,1456.5,1472.29,1454.85,1500000.0,1.2
2010-05-27,1453.82,1472.29,1478.07,1453.82,2480000.0,-1.25
2010-05-30,1455.16,1453.82,1462.04,1453.72,5910000.0,0.09
2010-05-31,1450.28,1455.16,1455.16,1449.7,2350000.0,-0.34
2010-06-01,1443.71,1450.28,1450.28,1443.71,454920.0,-0.45
2010-06-02,1415.65,1421.44,1422.81,1409.23,3880000.0,-1.94
2010-06-03,1416.9,1415.65,1417.96,1415.65,3050000.0,0.09
2010-06-06,1415.68,1417.58,1418.4,1415.68,4950000.0,-0.09
2010-06-07,1409.0,1415.68,1415.68,1409.0,1390000.0,-0.47
2010-06-08,1414.17,1409.0,1414.17,1406.25,1060000.0,0.37
2010-06-09,1411.61,1414.17,1414.18,1406.12,2350000.0,-0.18
2010-06-10,1401.12,1412.82,1413.01,1397.32,937360.0,-0.74
2010-06-13,1398.74,1401.12,1401.12,1393.9,1470000.0,-0.17
2010-06-14,1403.87,1398.74,1404.84,1398.74,1550000.0,0.37
2010-06-15,1392.32,1403.87,1403.87,1392.32,1570000.0,-0.82
2010-06-16,1390.81,1392.32,1394.66,1390.6,1250000.0,-0.11
2010-06-17,1393.3,1390.81,1393.33,1387.15,2870000.0,0.18
2010-06-20,1392.48,1393.3,1393.3,1387.53,632680.0,-0.06
2010-06-21,1396.14,1392.48,1396.35,1390.62,2110000.0,0.26
2010-06-22,1406.76,1395.8,1406.76,1394.23,3910000.0,0.76
2010-06-23,1413.19,1407.97,1418.27,1407.97,1310000.0,0.46
2010-06-24,1411.09,1413.19,1413.81,1409.46,635250.0,-0.15
2010-06-27,1404.35,1409.88,1409.88,1404.35,5510000.0,-0.48
2010-06-28,1406.27,1403.14,1406.27,1402.9,617080.0,0.14
2010-06-29,1401.53,1406.27,1406.66,1400.95,1080000.0,-0.34
2010-06-30,1396.29,1401.53,1401.69,1396.01,641770.0,-0.37
2010-07-01,1379.98,1396.29,1396.29,1379.49,635640.0,-1.17
